TRI Facility Name,TRI Facility ID,Year,Census Tract,3-Mile Population,Under Age 5 Percentile,Over Age 64 Percentile,Unemployment Rate Percentile,Limited English Speaking Percentile,Less Than High School Education Percentile,ZIP Code,Street Address,City,County,Latitude,Longitude,Chemical,Industry Sector,NAICS Code,Parent Company,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Hazard,Number of Source Reduction Activities
M. ARGUESO & CO. INC. (D.B.A PARAMELT),49441MRGSC2817M,2024,26121002300,"39,737",73,53,60,0,62,49441,2817 MCCRACKEN ST,"MUSKEGON, MI","MUSKEGON, MI",43.20147771,-86.29328773,"4,4'-Isopropylidenediphenol (80-05-7)",325 Chemicals,325998 All Other Miscellaneous Chemical Product and Preparation Manufacturing,PARAMELT USA,"345,769.97",12.97,0.00,"345,757.00",0.00,"345,769.97","6,915,399",0
WAYNE DISPOSAL INC,48111WYNDS49350,2024,26163986501,"28,882",0,0,0,0,0,48111,49350 N I-94 SERVICE DR,"BELLEVILLE, MI","WAYNE, MI",42.21950635,-83.52417321,Nickel compounds (N495),562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,REPUBLIC SERVICES INC,"335,311.95",2.15,0.00,"335,264.00",45.80,"335,311.95","32,512,692",0
CORTEVA AGRISCIENCE LLC - HARBOR BEACH OPERATIONS,48441THNTR30BUE,2024,26063951200,"2,619",27,90,43,0,80,48441,305 N HURON AVE,"HARBOR BEACH, MI","HURON, MI",43.84729735,-82.65196338,Formic acid (64-18-6),325 Chemicals,325320 Pesticide and Other Agricultural Chemical Manufacturing,CORTEVA INC,"323,085.08",949.00,0.00,0.00,"322,136.08","542,894.00","161,543",0
WAYNE DISPOSAL INC,48111WYNDS49350,2024,26163986501,"28,882",0,0,0,0,0,48111,49350 N I-94 SERVICE DR,"BELLEVILLE, MI","WAYNE, MI",42.21950635,-83.52417321,Manganese compounds (N450),562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,REPUBLIC SERVICES INC,"320,896.15",2.15,0.00,"320,894.00",0.00,"320,896.15","2,304,147",0
BILLERUD ESCANABA LLC,49829MDPBLCOUNT,2024,26041970400,"5,730",46,91,58,0,34,49829,7100 COUNTY RD 426,"ESCANABA, MI","DELTA, MI",45.8032763,-87.09536725,Methanol (67-56-1),322 Paper,322120 Paper Mills,BILLERUD AMERICAS CORP,"319,663.00","318,765.00",0.00,898.00,0.00,"7,786,579.00","58,276",0
WAYNE DISPOSAL INC,48111WYNDS49350,2024,26163986501,"28,882",0,0,0,0,0,48111,49350 N I-94 SERVICE DR,"BELLEVILLE, MI","WAYNE, MI",42.21950635,-83.52417321,Zinc compounds (N982),562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,REPUBLIC SERVICES INC,"267,135.77",2.13,0.00,"267,093.00",40.64,"267,135.77","881,754",0
EAGLE MINE LLC-HUMBOLDT MILL,4981WGLMNL4547C,2024,26103002300,417,12,90,25,0,20,49814,4547 COUNTY RD 601,"CHAMPION, MI","MARQUETTE, MI",46.48639054,-87.90779508,Cobalt compounds (N096),2122 Metal Mining,"212230 Copper, Nickel, Lead, and Zinc Mining",EAGLE MINE LLC,"266,031.73",0.53,18.00,"266,005.00",8.20,"266,031.73","244,440,000",0
PACKAGING CORP OF AMERICA,49634PCKGN2245U,2024,26101000700,"8,480",42,83,67,0,64,49634,2246 UDELL ST,"FILER CITY, MI","MANISTEE, MI",44.247547,-86.318539,Zinc compounds (N982),322 Paper,322120 Paper Mills,PACKAGING CORP OF AMERICA,"259,829.00",415.00,0.00,0.00,"259,414.00","259,829.00","25,982,900",0
WAYNE DISPOSAL INC,48111WYNDS49350,2024,26163986501,"28,882",0,0,0,0,0,48111,49350 N I-94 SERVICE DR,"BELLEVILLE, MI","WAYNE, MI",42.21950635,-83.52417321,Barium compounds (N040),562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,REPUBLIC SERVICES INC,"255,669.75",1.75,0.00,"255,668.00",0.00,"255,669.75","1,290,590",0
MICHIGAN SUGAR CO - BAY CITY FACTORY,48707MNTRS2600S,2024,26017281000,"43,799",0,23,97,0,75,48706,2600 S EUCLID AVE BAY CITY FACTORY,"BAY CITY, MI","BAY, MI",43.57657935,-83.91595145,Ammonia (7664-41-7),311 Food,311313 Beet Sugar Manufacturing,MICHIGAN SUGAR CO,"253,900.00","16,000.00","39,400.00","198,500.00",0.00,"284,400.00","112,000",0
